date,category,amount,note
2026-07-27,Other,300,Internet bill
2026-07-27,Books,380,Lab manual
2026-07-28,Rent,4500,Hostel share for August
2026-07-28,Food,900,Monthly mess top-up
2026-07-29,Transport,230,Train ticket home
2026-07-29,Entertainment,300,Movie with friends
2026-07-30,Books,540,Notebooks and pens
2026-07-30,Food,780,Weekend groceries
2026-07-31,Other,450,Phone recharge
2026-07-31,Entertainment,400,Cricket match ticket
2026-07-31,Transport,120,Auto to station
2026-07-31,Books,200,Second-hand novel
2026-07-31,Food,540,Birthday treat
2026-07-31,Entertainment,200,Music subscription
2026-08-01,Food,450,Lunch with team
2026-08-01,Transport,120,Auto to college
2026-08-02,Food,210,Groceries run
2026-08-02,Transport,60,Shared cab
2026-08-02,Entertainment,250,Movie ticket
2026-08-03,Books,680,Python textbook
2026-08-03,Transport,90,Bus pass top-up
2026-08-03,Other,250,Phone recharge
2026-08-04,Food,320,Dinner outside
2026-08-04,Transport,180,Auto to station
